sn,symbol,ltp,point change,change,open,high,low,volume,close
72,GRDBL,377.00,6.80,1.84,370.30,379.80,365.10,"17,661.00",370.20
73,GUFL,570.00,10.00,1.79,565.00,571.00,565.00,"21,952.00",560.00
74,GVL,476.00,9.10,1.95,457.60,476.00,457.60,"36,277.00",466.90
75,H8020,8.70,-0.04,-0.46,8.74,8.74,8.62,"3,500.00",8.74
76,HATHY,974.90,22.80,2.39,933.10,980.00,933.10,"36,467.00",952.10
77,HBL,199.90,0.90,0.45,201.00,201.00,197.50,"26,851.00",199.00
78,HDHPC,149.30,0.30,0.20,150.80,151.90,147.70,"119,922.00",149.00
79,HDL,"1,570.00",-8.00,-0.51,"1,546.50","1,580.10","1,546.50","42,830.00","1,578.00"
80,HEI,594.00,4.00,0.68,592.00,600.00,590.00,"23,053.00",590.00
81,HEIP,381.70,5.70,1.52,381.70,381.70,381.70,10.00,376.00
82,HHL,363.00,24.80,7.33,344.70,365.90,335.00,"116,281.00",338.20
83,HIDCL,188.00,1.50,0.80,188.00,189.00,187.10,"45,967.00",186.50
84,HIDCLP,101.90,0.40,0.39,101.60,102.10,100.70,"60,785.00",101.50
85,HLBSL,603.20,-3.80,-0.63,607.00,609.00,597.00,"2,609.00",607.00
86,HLI,406.90,2.80,0.69,404.00,410.00,401.80,"49,254.00",404.10
87,HPPL,298.00,13.00,4.56,290.70,300.00,280.00,"65,749.00",285.00
88,HRL,692.10,-2.80,-0.40,703.00,704.00,690.00,"331,525.00",694.90
89,HURJA,308.90,2.50,0.82,307.00,310.00,304.30,"41,074.00",306.40
90,ICFC,488.00,7.00,1.46,477.00,489.90,475.10,"9,460.00",481.00
91,IGI,567.00,1.00,0.18,575.00,575.00,564.20,"45,109.00",566.00
92,IHL,375.00,5.30,1.43,371.70,382.90,366.00,"43,081.00",369.70
93,ILBS,713.00,18.00,2.59,690.90,720.00,690.90,"3,309.00",695.00
94,ILI,552.00,-2.90,-0.52,543.90,561.00,543.90,"29,169.00",554.90
95,JALPA,"1,148.90",3.90,0.34,"1,122.10","1,160.00","1,122.10",456.00,"1,145.00"
96,JBBL,309.80,1.80,0.58,310.00,310.00,303.00,"25,938.00",308.00
97,JBLB,"1,320.00",8.90,0.68,"1,284.90","1,329.50","1,284.90","1,675.00","1,311.10"
98,JFL,370.90,-1.80,-0.48,380.00,380.00,367.50,"4,590.00",372.70
99,JOSHI,300.00,25.50,9.29,279.40,301.90,270.00,"149,029.00",274.50
100,JSLBB,875.00,-4.50,-0.51,865.00,875.00,865.00,370.00,879.50
101,KBL,149.00,0.80,0.54,151.10,151.10,148.00,"97,547.00",148.20
102,KBLD86,"1,010.00",17.00,1.71,"1,010.00","1,010.00","1,010.00",100.00,993.00
103,KBLD89,"1,030.20",0.20,0.02,"1,030.20","1,030.20","1,030.20",40.00,"1,030.00"
104,KBSH,"1,100.80",100.00,9.99,"1,020.80","1,100.80","1,020.80","1,560.00","1,000.80"
105,KDBY,8.59,0.01,0.12,8.41,8.70,8.41,"6,300.00",8.58
106,KDL,832.00,22.50,2.78,820.00,836.00,817.00,"5,854.00",809.50
107,KEF,8.26,0.14,1.72,7.97,8.26,7.97,"9,310.00",8.12
108,KKHC,245.10,-0.70,-0.28,250.70,250.70,241.10,"15,567.00",245.80
109,KLBSL,920.00,66.00,7.73,850.00,939.00,840.00,"2,588.00",854.00
110,KMCDB,657.80,-0.20,-0.03,645.00,678.00,640.10,"1,208.00",658.00
111,KPCL,437.00,2.00,0.46,435.00,440.00,430.00,"11,904.00",435.00
112,KRBL,394.00,11.00,2.87,376.00,397.60,372.00,"54,902.00",383.00
113,KSBBL,362.00,2.80,0.78,364.00,364.00,357.70,"36,456.00",359.20
114,LBBL,401.00,2.00,0.50,400.00,403.00,398.00,"9,044.00",399.00
115,LEC,216.00,1.00,0.47,210.70,219.00,210.70,"67,093.00",215.00
116,LEMF,9.71,0.24,2.53,9.65,9.71,9.51,"113,900.00",9.47
117,LICN,"1,390.00",0.00,0.00,"1,387.00","1,395.00","1,379.00","4,375.00","1,390.00"
118,LLBS,772.00,7.00,0.92,765.00,772.00,760.00,605.00,765.00
119,LSL,166.50,-0.50,-0.30,163.70,170.20,163.70,"19,583.00",167.00
120,LUK,8.30,-0.05,-0.60,8.19,8.35,8.19,"12,600.00",8.35
121,LVF2,8.15,0.20,2.52,8.10,8.26,8.10,"6,000.00",7.95
122,MAKAR,425.00,1.00,0.24,416.00,434.00,409.00,"30,689.00",424.00
123,MANDU,707.00,4.00,0.57,692.00,709.00,692.00,"8,475.00",703.00
124,MBJC,335.00,3.40,1.03,326.00,337.00,326.00,"44,553.00",331.60
125,MBL,183.60,1.10,0.60,185.90,185.90,182.30,"21,518.00",182.50
126,MBLD2085,"1,020.00",18.00,1.80,"1,020.00","1,020.00","1,020.00",100.00,"1,002.00"
127,MCHL,362.40,12.50,3.57,344.00,363.00,342.30,"21,501.00",349.90
128,MDB,416.00,1.00,0.24,420.00,420.00,409.10,"2,789.00",415.00
129,MEHL,320.00,10.90,3.53,308.00,321.30,306.00,"43,035.00",309.10
130,MEL,242.90,6.60,2.79,236.30,245.00,236.10,"74,376.00",236.30
131,MEN,636.00,7.90,1.26,615.60,640.40,615.60,"28,167.00",628.10
132,MERO,559.90,2.90,0.52,550.00,560.00,548.60,"3,263.00",557.00
133,MFIL,517.50,4.50,0.88,514.00,517.50,512.00,"8,943.00",513.00
134,MFLD85,958.00,20.70,2.21,940.00,958.80,940.00,130.00,937.30
135,MHCL,520.00,0.00,0.00,509.60,525.00,500.00,"69,106.00",520.00
136,MHL,446.10,8.10,1.85,435.60,446.90,430.00,"35,902.00",438.00
137,MHNL,279.00,5.30,1.94,275.00,279.00,272.10,"23,457.00",273.70
138,MKCL,990.00,3.50,0.35,980.00,996.00,971.30,"12,897.00",986.50
139,MKHC,330.00,9.00,2.80,327.40,330.00,316.00,"58,922.00",321.00
140,MKHL,394.00,12.00,3.14,389.60,395.40,380.00,"44,626.00",382.00
141,MKJC,509.90,14.90,3.01,485.10,510.00,478.00,"11,788.00",495.00
142,MKLB,692.00,1.00,0.14,690.00,718.00,690.00,451.00,691.00
143,MLBBL,803.90,5.90,0.74,790.00,804.00,785.00,944.00,798.00
144,MLBL,342.00,4.00,1.18,344.70,344.70,337.90,"16,080.00",338.00
145,MLBS,707.30,-9.70,-1.35,706.00,710.00,706.00,691.00,717.00
146,MLBSL,"1,681.00",-19.00,-1.12,"1,701.00","1,701.00","1,641.00",602.00,"1,700.00"
147,MMF1,7.33,-0.12,-1.61,7.31,7.49,7.21,"23,920.00",7.45
148,MMFDB,567.00,7.00,1.25,551.00,571.20,551.00,"3,026.00",560.00
149,MMKJL,439.90,12.90,3.02,421.30,450.00,421.30,"30,821.00",427.00
150,MNBBL,372.00,2.00,0.54,370.00,375.00,368.00,"11,330.00",370.00
151,MPFL,357.00,1.20,0.34,362.00,362.00,351.60,"21,190.00",355.80
152,MSHL,701.00,-23.00,-3.18,735.00,735.00,700.70,"21,577.00",724.00
153,MSLB,924.00,69.40,8.12,845.30,924.00,844.10,"1,784.00",854.60
154,NABBC,420.00,1.00,0.24,425.00,425.00,410.00,"7,760.00",419.00
155,NABIL,477.00,2.00,0.42,476.00,477.00,474.00,"48,708.00",475.00
156,NADEP,556.00,9.90,1.81,541.00,556.80,541.00,"1,842.00",546.10
157,NBF2,8.40,0.26,3.19,8.11,8.40,8.10,"13,000.00",8.14
158,NBF3,7.38,0.03,0.41,7.40,7.54,7.33,"9,050.00",7.35
159,NBL,229.40,-0.10,-0.04,230.00,232.00,228.50,"35,617.00",229.50
160,NBLD85,890.00,-2.50,-0.28,890.00,890.00,890.00,200.00,892.50
161,NBLD87,890.00,0.00,0.00,890.00,890.00,890.00,125.00,890.00
162,NESDO,"1,632.00",-9.00,-0.55,"1,625.10","1,660.00","1,625.10",627.00,"1,641.00"
163,NFS,340.00,5.30,1.58,328.10,341.90,328.10,"16,812.00",334.70
164,NGPL,343.50,6.00,1.78,340.50,344.70,335.10,"158,637.00",337.50
165,NHDL,450.50,6.30,1.42,452.00,453.00,439.00,"12,031.00",444.20
166,NHPC,172.00,2.90,1.71,172.00,172.50,168.70,"89,626.00",169.10
167,NIBD84,905.00,-15.00,-1.63,902.00,905.00,902.00,50.00,920.00
168,NIBLGF,8.00,-0.03,-0.37,7.98,8.26,7.98,"177,300.00",8.03
169,NIBSF2,7.34,0.14,1.94,7.16,7.34,7.16,"2,600.00",7.20
170,NICA,450.10,-5.00,-1.10,450.00,455.00,439.00,"309,656.00",455.10
171,NICAD8283,"1,025.60",4.60,0.45,"1,005.50","1,025.60","1,005.50",35.00,"1,021.00"
172,NICBF,8.85,0.45,5.36,8.55,8.85,8.46,"18,700.00",8.40
173,NICFC,8.80,-0.03,-0.34,8.66,8.80,8.60,"3,200.00",8.83
174,NICGF,9.30,-0.06,-0.64,9.37,9.43,9.30,"53,000.00",9.36
175,NICGF2,8.20,-0.80,-8.89,8.82,8.82,8.10,"19,173.00",9.00
176,NICL,937.00,33.00,3.65,922.00,945.00,910.00,"121,903.00",904.00
177,NICLBSL,583.00,-1.00,-0.17,575.00,585.00,575.00,"5,421.00",584.00
178,NICSF,8.95,0.08,0.90,8.83,8.95,8.67,"14,417.00",8.87
179,NIFRA,225.90,2.70,1.21,222.50,226.00,222.50,"85,725.00",223.20
180,NIL,826.30,5.30,0.65,820.00,833.90,816.00,"7,307.00",821.00
181,NIMB,169.60,-0.10,-0.06,169.00,171.00,169.00,"50,815.00",169.70
182,NIMBPO,141.80,2.80,2.01,137.50,141.80,137.30,"1,191.00",139.00
183,NLBBL,567.00,-6.00,-1.05,570.00,573.00,566.00,815.00,573.00
184,NLG,797.00,2.00,0.25,796.00,799.50,790.00,"5,684.00",795.00
185,NLIC,630.00,3.00,0.48,620.20,632.80,620.00,"27,121.00",627.00
186,NLICL,590.00,5.00,0.85,585.00,590.00,580.00,"8,154.00",585.00
187,NMB,191.00,-0.70,-0.37,191.00,193.80,190.10,"20,060.00",191.70
188,NMB50,9.66,0.36,3.87,9.30,9.66,9.30,"7,200.00",9.30
189,NMBD87/88,858.00,-14.00,-1.61,858.00,858.00,858.00,75.00,872.00
190,NMBMF,521.20,-6.80,-1.29,520.00,538.00,520.00,"2,588.00",528.00
191,NMFBS,"1,101.00",-16.00,-1.43,"1,129.00","1,129.00","1,101.00",790.00,"1,117.00"
192,NRIC,796.00,1.00,0.13,792.00,799.90,786.00,"50,306.00",795.00
193,NRM,380.00,6.00,1.60,368.00,383.40,368.00,"34,243.00",374.00
194,NRN,614.00,7.00,1.15,605.00,622.00,603.00,"265,514.00",607.00
195,NSIF2,9.15,0.04,0.44,9.10,9.27,9.10,"516,430.00",9.11
196,NTC,880.00,-1.00,-0.11,878.00,890.00,864.00,"16,664.00",881.00
197,NUBL,660.00,-7.00,-1.05,670.00,670.00,648.00,"5,204.00",667.00
198,NWCL,775.00,10.00,1.31,760.00,777.00,760.00,"8,881.00",765.00
199,NYADI,291.00,3.00,1.04,288.00,293.70,285.00,"15,836.00",288.00
200,OHL,789.90,9.90,1.27,780.00,793.00,780.00,"1,648.00",780.00
201,PBD85,902.70,17.70,2.00,902.00,902.70,902.00,70.00,885.00
202,PBD88,998.00,-2.00,-0.20,"1,007.00","1,007.00",991.00,476.00,"1,000.00"
203,PBLD84,991.40,15.40,1.58,991.40,991.40,991.40,10.00,976.00
204,PCBL,202.50,-2.20,-1.07,203.00,203.80,201.10,"47,185.00",204.70
205,PFL,372.00,4.80,1.31,366.10,372.00,364.00,"5,251.00",367.20
206,PHCL,329.00,6.50,2.02,320.20,332.00,318.30,"43,380.00",322.50
207,PMHPL,266.00,2.00,0.76,267.90,271.10,261.20,"15,660.00",264.00
208,PMLI,528.10,2.10,0.40,526.00,530.00,523.00,"8,757.00",526.00
209,PPCL,269.00,4.00,1.51,265.10,275.00,260.10,"26,809.00",265.00
210,PPL,403.80,26.60,7.05,384.70,404.00,384.70,"179,971.00",377.20
211,PRIN,825.00,13.70,1.69,827.00,829.00,814.00,"12,952.00",811.30
212,PROFL,321.00,1.30,0.41,319.00,324.00,316.10,"16,557.00",319.70
213,PRSF,8.50,0.00,0.00,8.33,8.65,8.17,"1,750.00",8.50
214,PRVU,154.90,0.90,0.58,155.00,156.00,154.00,"67,816.00",154.00
215,PSF,8.50,0.21,2.53,8.45,8.70,8.45,"37,219.00",8.29
216,RADHI,280.00,3.00,1.08,277.00,280.00,272.00,"63,476.00",277.00
217,RAWA,542.80,2.90,0.54,529.20,547.00,525.20,"23,418.00",539.90
218,RBCL,"14,200.00",300.00,2.16,"14,000.00","14,830.00","14,000.00",360.00,"13,900.00"
219,RBCLPO,"11,200.00",200.00,1.82,"11,220.00","11,220.00","11,200.00",30.00,"11,000.00"
220,RFPL,355.00,25.00,7.58,323.50,357.00,323.50,"144,129.00",330.00
221,RHGCL,334.90,17.90,5.65,317.00,335.00,312.00,"68,887.00",317.00
222,RHPL,306.70,5.50,1.83,300.10,307.00,300.00,"32,990.00",301.20
223,RIDI,221.00,0.80,0.36,223.00,223.10,218.00,"78,249.00",220.20
224,RLFL,372.00,6.00,1.64,373.00,376.00,366.00,"17,829.00",366.00
225,RMF1,8.00,0.05,0.63,7.80,8.16,7.80,"6,074.00",7.95
226,RMF2,8.23,-0.04,-0.48,8.11,8.23,8.11,700.00,8.27
227,RNLI,465.00,0.40,0.09,458.00,470.00,458.00,"28,273.00",464.60
228,RSDC,553.40,3.40,0.62,541.00,570.00,540.30,"3,704.00",550.00
229,RURU,732.90,17.90,2.50,716.00,732.90,716.00,"1,984.00",715.00
230,SABSL,635.00,6.00,0.95,621.00,635.00,621.00,430.00,629.00
231,SADBL,308.00,-1.00,-0.32,306.20,309.80,305.10,"21,821.00",309.00
232,SAEF,10.20,0.00,0.00,10.20,10.40,10.20,"10,500.00",10.20
233,SAGF,8.50,0.05,0.59,8.45,8.64,8.40,"1,500.00",8.45
234,SAHAS,585.20,8.70,1.51,583.00,587.00,575.00,"29,261.00",576.50
235,SALICO,700.00,7.50,1.08,695.20,705.50,691.20,"11,692.00",692.50
236,SAMAJ,"1,117.00",101.50,10.00,"1,035.80","1,117.00","1,035.80",100.00,"1,015.50"
237,SANIMA,250.00,1.60,0.64,249.00,251.90,245.10,"54,182.00",248.40
238,SAPDBL,268.50,1.50,0.56,270.00,270.00,265.00,"8,800.00",267.00
239,SAPDBLP,144.00,0.00,0.00,144.00,144.00,144.00,"23,000.00",144.00
240,SBCF,8.20,0.10,1.23,8.00,8.50,7.84,"304,430.00",8.10
241,SBD87,887.00,-0.40,-0.05,885.00,887.00,885.00,125.00,887.40
242,SBI,290.00,-1.00,-0.34,287.00,294.00,287.00,"12,208.00",291.00
243,SBID83,"1,003.00",1.00,0.10,"1,005.00","1,005.00","1,003.00",525.00,"1,002.00"
244,SBID89,890.50,-2.50,-0.28,875.20,890.50,875.20,115.00,893.00
245,SBL,232.50,-0.40,-0.17,231.40,235.90,231.40,"18,126.00",232.90
246,SBLD2082,996.00,-14.00,-1.39,996.00,996.00,996.00,25.00,"1,010.00"
